model, prompt_tokens, completion_tokens, reponse_status, date
gpt-4, 30, 8, 200, 2023-04-08
gpt-4, 30, 8, 200, 2023-04-08
gpt-4, 30, 8, 200, 2023-04-08
gpt-4, 30, 8, 200, 2023-04-08
gpt-4, 30, 8, 200, 2024-04-08
gpt-4, 30, 8, 200, 2024-04-08
gpt-4, 30, 8, 200, 2024-04-09
gpt-4, 30, 8, 200, 2024-04-09
gpt-4, 43, 2, 200, 2024-04-09
gpt-4, 43, 2, 200, 2024-04-09
gpt-4, 43, 2, 200, 2024-04-09
gpt-4, 42, 2, 200, 2024-04-09
gpt-4, 42, 2, 200, 2024-04-09
gpt-4, 42, 2, 200, 2024-04-09
gpt-35-turbo, 44, 2, 200, 2024-04-09
gpt-35-turbo, 38, 2, 200, 2024-04-09
gpt-35-turbo, 51, 2, 200, 2024-04-09
gpt-35-turbo, 191, 2, 200, 2024-05-21
gpt-35-turbo, 199, 2, 200, 2024-05-21
gpt-35-turbo, 218, 2, 200, 2024-05-21
gpt-35-turbo, 229, 2, 200, 2024-05-21
gpt-35-turbo, 228, 2, 200, 2024-05-21
gpt-35-turbo, 228, 2, 200, 2024-05-21
gpt-35-turbo, 228, 2, 200, 2024-05-21
gpt-35-turbo, 233, 2, 200, 2024-05-21
gpt-35-turbo, 233, 2, 200, 2024-05-21
gpt-35-turbo, 225, 1, 200, 2024-05-21
gpt-35-turbo, 236, 1, 200, 2024-05-21
gpt-4, 234, 1, 200, 2024-05-21
gpt-4, 223, 1, 200, 2024-05-21
gpt-4, 223, 1, 200, 2024-05-21
gpt-4, 223, 1, 200, 2024-05-21
gpt-4, 223, 1, 200, 2024-05-22
gpt-4, 223, 1, 200, 2024-05-22
gpt-4, 224, 1, 200, 2024-05-22
gpt-35-turbo, 226, 1, 200, 2024-05-22
gpt-35-turbo, 227, 1, 200, 2024-05-22
gpt-35-turbo, 228, 1, 200, 2024-05-22
gpt-35-turbo, 223, 1, 200, 2024-05-22
gpt-35-turbo, 221, 1, 200, 2024-05-22
gpt-35-turbo, 221, 1, 200, 2024-05-22
gpt-35-turbo, 221, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-22
gpt-35-turbo, 222, 1, 200, 2024-05-22
gpt-35-turbo, 175, 1, 200, 2024-05-22
gpt-35-turbo, 172, 1, 200, 2024-05-22
gpt-35-turbo, 170, 1, 200, 2024-05-22
gpt-35-turbo, 169, 1, 200, 2024-05-22
gpt-35-turbo, 225, 1, 200, 2024-05-22
gpt-35-turbo, 233, 1, 200, 2024-05-22
gpt-35-turbo, 240, 1, 200, 2024-05-22
gpt-35-turbo, 233, 1, 200, 2024-05-22
gpt-35-turbo, 215, 1, 200, 2024-05-22
gpt-35-turbo, 206, 1, 200, 2024-05-22
gpt-35-turbo, 199, 1, 200, 2024-05-22
gpt-35-turbo, 207, 1, 200, 2024-05-22
gpt-35-turbo, 237, 1, 200, 2024-05-22
gpt-35-turbo, 227, 1, 200, 2024-05-22
gpt-35-turbo, 202, 1, 200, 2024-05-22
gpt-35-turbo, 182, 1, 200, 2024-05-22
gpt-35-turbo, 225, 1, 200, 2024-05-22
gpt-35-turbo, 154, 1, 200, 2024-05-22
gpt-35-turbo, 171, 1, 200, 2024-05-22
gpt-35-turbo, 209, 1, 200, 2024-05-22
gpt-35-turbo, 221, 1, 200, 2024-05-22
gpt-35-turbo, 178, 1, 200, 2024-05-22
gpt-35-turbo, 200, 1, 200, 2024-05-22
gpt-35-turbo, 175, 1, 200, 2024-05-22
gpt-35-turbo, 218, 1, 200, 2024-05-22
gpt-35-turbo, 186, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 243, 1, 200, 2024-05-22
gpt-35-turbo, 175, 1, 200, 2024-05-22
gpt-35-turbo, 245, 1, 200, 2024-05-22
gpt-35-turbo, 199, 1, 200, 2024-05-22
gpt-35-turbo, 247, 1, 200, 2024-05-22
gpt-35-turbo, 197, 1, 200, 2024-05-22
gpt-35-turbo, 196, 1, 200, 2024-05-22
gpt-35-turbo, 196, 1, 200, 2024-05-22
gpt-35-turbo, 166, 1, 200, 2024-05-22
gpt-35-turbo, 217, 1, 200, 2024-05-22
gpt-35-turbo, 94, 1, 200, 2024-05-22
gpt-35-turbo, 174, 1, 200, 2024-05-22
gpt-35-turbo, 192, 1, 200, 2024-05-22
gpt-35-turbo, 234, 1, 200, 2024-05-22
gpt-35-turbo, 160, 1, 200, 2024-05-22
gpt-35-turbo, 179, 1, 200, 2024-05-22
gpt-35-turbo, 223, 1, 200, 2024-05-22
gpt-35-turbo, 215, 1, 200, 2024-05-22
gpt-35-turbo, 212, 1, 200, 2024-05-22
gpt-35-turbo, 230, 1, 200, 2024-05-22
gpt-35-turbo, 201, 1, 200, 2024-05-22
gpt-35-turbo, 185, 1, 200, 2024-05-22
gpt-35-turbo, 205, 1, 200, 2024-05-22
gpt-35-turbo, 181, 1, 200, 2024-05-22
